"","Beijing","Cape Town","Hong Kong","Honolulu","London","Melbourne","Mexico","Montreal","Moscow","New Delhi","New York","Paris","Rio de Janeiro","Rome","San Francisco","Singapore","Stockholm","Tokyo"
"Beijing",0,12947,1972,8171,8160,9093,12478,10490,5809,3788,11012,8236,17325,8144,9524,4465,6725,2104
"Cape Town",12947,0,11867,18562,9635,10338,13703,12744,10101,9284,12551,9307,6075,8417,16487,9671,10334,14737
"Hong Kong",1972,11867,0,8945,9646,7392,14155,12462,7158,3770,12984,9650,17710,9300,11121,2575,8243,2893
"Honolulu",8171,18562,8945,0,11653,8862,6098,7915,11342,11930,7996,11988,13343,12936,3857,10824,11059,6208
"London",8160,9635,9646,11653,0,16902,8947,5240,2506,6724,5586,341,9254,1434,8640,10860,1436,9585
"Melbourne",9093,10338,7392,8862,16902,0,13557,16730,14418,10192,16671,16793,13227,15987,12644,6050,15593,8159
"Mexico",12478,13703,14155,6098,8947,13557,0,3728,10740,14679,3362,9213,7669,10260,3038,16623,9603,11319
"Montreal",10490,12744,12462,7915,5240,16730,3728,0,7077,11286,533,5522,8175,6601,4092,14816,5900,10409
"Moscow",5809,10101,7158,11342,2506,14418,10740,7077,0,4349,7530,2492,11529,2378,9469,8426,1231,7502
"New Delhi",3788,9284,3770,11930,6724,10192,14679,11286,4349,0,11779,6601,14080,5929,12380,4142,5579,5857
"New York",11012,12551,12984,7996,5586,16671,3362,533,7530,11779,0,5851,7729,6907,4140,15349,6336,10870
"Paris",8236,9307,9650,11988,341,16793,9213,5522,2492,6601,5851,0,9146,1108,8975,10743,1546,9738
"Rio de Janeiro",17325,6075,17710,13343,9254,13227,7669,8175,11529,14080,7729,9146,0,9181,10647,15740,10682,18557
"Rome",8144,8417,9300,12936,1434,15987,10260,6601,2378,5929,6907,1108,9181,0,10071,10030,1977,9881
"San Francisco",9524,16487,11121,3857,8640,12644,3038,4092,9469,12380,4140,8975,10647,10071,0,13598,8644,8284
"Singapore",4465,9671,2575,10824,10860,6050,16623,14816,8426,4142,15349,10743,15740,10030,13598,0,9646,5317
"Stockholm",6725,10334,8243,11059,1436,15593,9603,5900,1231,5579,6336,1546,10682,1977,8644,9646,0,8193
"Tokyo",2104,14737,2893,6208,9585,8159,11319,10409,7502,5857,10870,9738,18557,9881,8284,5317,8193,0
